,Years
1961,2005
1962,2022
1963,2022
1964,2011
1965,2011
1966,2012
1967,2022
1968,2022
1969,2009
1970,2009
1971,2009
1972,2011
1973,2011
1974,2011
1975,2021
1976,2021
1977,2021
1978,2019
1979,2019
1980,2019
1981,2019
1982,2019
1983,2019
1984,2022
1985,2022
1986,2022
1987,2008
1988,2008
1989,2021
1990,2006
1991,2006
1992,2006
1993,2006
1994,2006
1995,2008
1996,2008
1997,2008
1998,2004
1999,2004
2000,2004
2001,2014
2002,2021
2003,2015
2004,2015
2005,2007
2006,2007
2007,2007
2008,2022
2009,2022
2010,2022
2011,2022
2012,2011
2013,2011
2014,2011
2015,2011
2016,2018
2017,2018
2018,2018
2019,2009
2020,2010
2021,2010
2022,2010
2023,2021
2024,2007
2025,2007
2026,2007
2027,2011
2028,2011
2029,2020
2030,2020
2031,2020
2032,2020
2033,2020
2034,2020
2035,2018
2036,2013
2037,2013
2038,2006
2039,2006
2040,2006
2041,2006
2042,2012
2043,2012
2044,2015
2045,2015
2046,2015
2047,2015
2048,2015
2049,2000
2050,2000
2051,2000
2052,2000
2053,2000
2054,2000
2055,2004
2056,2004
2057,2004
2058,2004
2059,2004
2060,2004
2061,2004
2062,2004
2063,2006
2064,2006
2065,2006
2066,2021
2067,2000
2068,2000
2069,2000
2070,2009
2071,2009
2072,2009
2073,2002
2074,2002
2075,2010
2076,2010
2077,2010
2078,2010
2079,2010
2080,2010
2081,2008
2082,2010
2083,2010
2084,2015
2085,2009
2086,2009
2087,2005
2088,2005
2089,2005
2090,2005
2091,2005
2092,2016
2093,2016
2094,2016
2095,2020
2096,2020
2097,2021
2098,2016
2099,2015
2100,2012
2101,2007
2102,2007
2103,2007
2104,2022
2105,2021
2106,1998
2107,1998
2108,1998
2109,1998
2110,1998
2111,1998
2112,2000
2113,2000
2114,2000
2115,2000
2116,2000
2117,2000
2118,2002
2119,2002
2120,2002
2121,2002
2122,2022
2123,2010
2124,2010
2125,2022
2126,2023
2127,2000
2128,2000
2129,2000
2130,2000
2131,2003
2132,2003
2133,2003
2134,2003
2135,2007
2136,2007
2137,2007
2138,2007
2139,2007
2140,2007
2141,2007
2142,2007
2143,2009
2144,2009
2145,2009
2146,2007
2147,2007
2148,2007
2149,2007
2150,2007
2151,2007
2152,2007
2153,2007
2154,2007
2155,2008
2156,2008
2157,2022
2158,2009
2159,2009
2160,2009
2161,2007
2162,2007
2163,2007
2164,2007
2165,2015
2166,2017
2167,2017
2168,2017
2169,2017
2170,1999
2171,1999
2172,1999
2173,1999
2174,2010
2175,2010
2176,2001
2177,2001
2178,2001
2179,2001
2180,2001
2181,2008
2182,2008
2183,2008
2184,2000
2185,2000
2186,2000
2187,2000
2188,2018
2189,2018
2190,2010
2191,2010
2192,2010
2193,2018
2194,2018
2195,2009
2196,2009
2197,2009
2198,2019
2199,2019
2200,2019
2201,2009
2202,2009
2203,2009
2204,2009
2205,2022
2206,2022
2207,2008
2208,2008
2209,2008
2210,2008
2211,2008
2212,2008
2213,2008
2214,2008
2215,2008
2216,2008
2217,2009
2218,2009
2219,2004
2220,2004
2221,2004
2222,2004
2223,2004
2224,2004
2225,2004
2226,2008
2227,2008
2228,2008
2229,2008
2230,2008
2231,2021
2232,2021
2233,2021
2234,2022
2235,2022
2236,2022
2237,2023
2238,2006
2239,2006
2240,2006
2241,2006
2242,2022
2243,2022
2244,2022
2245,2006
2246,2006
2247,1998
2248,1998
2249,1998
2250,1998
2251,1998
2252,1998
2253,2008
2254,2008
2255,2008
2256,2008
2257,2011
2258,2011
2259,2011
2260,2004
2261,2004
2262,2004
2263,2022
2264,2021
2265,2021
2266,2005
2267,2005
2268,2005
2269,2005
2270,2005
2271,2005
2272,2005
2273,2005
2274,2005
2275,2005
2276,2005
2277,2005
2278,2005
2279,2005
2280,2005
2281,2005
2282,2005
2283,2005
2284,2005
2285,2005
2286,2020
2287,2022
2288,2003
2289,2003
2290,2003
2291,2003
2292,2003
2293,2003
2294,2003
2295,2003
2296,2005
2297,2005
2298,2005
2299,2005
2300,2007
2301,2007
2302,2007
2303,2009
2304,2016
2305,2016
2306,2020
2307,2020
2308,2020
2309,2020
2310,2020
2311,2020
2312,2020
2313,2020
2314,2020
2315,2020
2316,2020
2317,2020
2318,2022
2319,2022
2320,2022
2321,2022
2322,2022
2323,1999
2324,1999
2325,1999
2326,1999
2327,1999
2328,1999
2329,1999
2330,1999
2331,2011
2332,2011
2333,2011
2334,2011
2335,2007
2336,2007
2337,2007
2338,2007
2339,2022
2340,1998
2341,1998
2342,1998
2343,1998
2344,1998
2345,1998
2346,1998
2347,2002
2348,2002
2349,2002
2350,2002
2351,2012
2352,2012
2353,2022
2354,2007
2355,2007
2356,2007
2357,2012
2358,2022
2359,2003
2360,2003
2361,2019
2362,2019
2363,2010
2364,2010
2365,2010
2366,2010
2367,2010
2368,2004
2369,2004
2370,2004
2371,2019
2372,2019
2373,2019
2374,2019
2375,2006
2376,2006
2377,2022
2378,2022
2379,2022
2380,2022
2381,2018
2382,2002
2383,2002
2384,2002
2385,2010
2386,2010
2387,2010
2388,2010
2389,2010
2390,2015
2391,2015
2392,2022
2393,2011
2394,2011
2395,2022
2396,2008
2397,2019
2398,2009
2399,2009
2400,2009
2401,2021
2402,2021
2403,2022
2404,2019
2405,2019
2406,2019
2407,2019
2408,2006
2409,2006
2410,2006
2411,2006
2412,2006
2413,2012
2414,2012
2415,2012
2416,2012
2417,2021
2418,2021
2419,2011
2420,2011
2421,2011
2422,2011
2423,2011
2424,2011
2425,2017
2426,2004
2427,2004
2428,2004
2429,2012
2430,2008
2431,2008
2432,2017
2433,1999
2434,1999
2435,1999
2436,1999
2437,1999
2438,1999
2439,1999
2440,1999
2441,1999
2442,1999
2443,1999
2444,1999
2445,1999
2446,1999
2447,1999
2448,1999
2449,1999
2450,1999
2451,1999
2452,1999
2453,2019
2454,1998
2455,1998
2456,1998
2457,1998
2458,1998
2459,2007
2460,2007
2461,2007
2462,2021
2463,2018
2464,2019
2465,2005
2466,2005
2467,2009
2468,2009
2469,2009
2470,2001
2471,2001
2472,2021
2473,2022
2474,2019
2475,2019
2476,2019
2477,2019
2478,2016
2479,2016
2480,2016
2481,2018
2482,2018
2483,2018
2484,2018
2485,2009
2486,2009
2487,2009
2488,2002
2489,2002
2490,2002
2491,2002
2492,2002
2493,2020
2494,2020
2495,2020
2496,2015
2497,2015
